scorer,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000
bodyparts,head,head,head,spine 1,spine 1,spine 1,spine 2,spine 2,spine 2,spine 3,spine 3,spine 3,spine 4,spine 4,spine 4,base,base,base,tail 25,tail 25,tail 25,tail 50,tail 50,tail 50,tail 75,tail 75,tail 75,tail 100,tail 100,tail 100,lForepaw,lForepaw,lForepaw,rForepaw,rForepaw,rForepaw,lHindpaw,lHindpaw,lHindpaw,lHindfingers,lHindfingers,lHindfingers,rHindpaw,rHindpaw,rHindpaw,rHindfingers,rHindfingers,rHindfingers
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,563.50830078125,70.43142700195312,1.0,591.2827758789062,68.08294677734375,0.999999463558197,610.0244750976562,67.95407104492188,0.9999997615814209,628.311279296875,68.3076171875,0.9999997019767761,648.0621337890625,69.6086196899414,0.9999955892562866,665.0574340820312,69.9298324584961,0.9999554753303528,681.2988891601562,73.39788055419922,0.0033123234752565622,586.7640991210938,62.05672836303711,1.6962405425147153e-05,591.3751220703125,59.898162841796875,0.0027031037025153637,620.6775512695312,79.10066223144531,0.0682704746723175,592.7733764648438,59.11587142944336,0.9999995827674866,609.4730224609375,77.96216583251953,0.9999996423721313,655.6618041992188,53.47132873535156,0.9999975562095642,648.93017578125,54.264183044433594,0.9999926090240479,646.3230590820312,90.65808868408203,0.9999977350234985,637.8655395507812,95.48767852783203,0.9999968409538269
1,563.50830078125,70.43142700195312,1.0,591.2827758789062,68.08844757080078,0.9999995231628418,610.0244750976562,67.95932006835938,0.9999997615814209,628.3400268554688,68.30883026123047,0.9999997615814209,648.0716552734375,69.63304901123047,0.9999960064888,665.0775146484375,69.98335266113281,0.9999585747718811,681.3148803710938,73.45413970947266,0.0034871387761086226,586.7666625976562,62.05672836303711,1.7074780771508813e-05,591.3751220703125,59.898162841796875,0.0026960507966578007,620.6779174804688,79.10066223144531,0.0642865002155304,592.7769775390625,59.11587142944336,0.9999995827674866,609.5040283203125,77.96216583251953,0.9999996423721313,655.7518310546875,53.47132873535156,0.9999975562095642,649.022705078125,54.264183044433594,0.999993085861206,646.3357543945312,90.65808868408203,0.9999975562095642,637.90576171875,95.52284240722656,0.9999966621398926
2,563.50830078125,70.43142700195312,1.0,591.2827758789062,68.09281158447266,0.999999463558197,610.0244750976562,67.96998596191406,0.9999997615814209,628.3465576171875,68.31742858886719,0.9999997615814209,648.0987548828125,69.6645278930664,0.9999960660934448,665.142333984375,69.98335266113281,0.9999606609344482,681.3148803710938,73.45413970947266,0.0031439715530723333,586.7881469726562,62.05672836303711,1.7064769053831697e-05,591.3751220703125,59.898162841796875,0.0026543617714196444,620.6834716796875,79.10066223144531,0.06307590007781982,592.7786254882812,59.11587142944336,0.9999995827674866,609.517822265625,77.96216583251953,0.9999996423721313,655.8112182617188,53.47132873535156,0.9999974966049194,649.0662231445312,54.264183044433594,0.999993085861206,646.3430786132812,90.65808868408203,0.9999974966049194,637.9072875976562,95.5306167602539,0.9999966621398926
3,563.4105224609375,70.33438110351562,1.0,591.2627563476562,68.08844757080078,0.999999463558197,609.987548828125,67.96998596191406,0.9999997615814209,628.3400268554688,68.31742858886719,0.9999997615814209,648.0987548828125,69.63304901123047,0.9999961853027344,665.2750854492188,69.9328842163086,0.9999575614929199,681.2988891601562,73.39788055419922,0.0026862628292292356,586.7881469726562,62.04188537597656,1.6532714653294533e-05,591.3534545898438,59.833831787109375,0.002702404512092471,620.6834716796875,79.10066223144531,0.0646602213382721,592.7786254882812,59.08793258666992,0.9999995231628418,609.5587158203125,77.95549011230469,0.9999996423721313,655.8513793945312,53.4369010925293,0.9999971985816956,649.0662231445312,54.264183044433594,0.9999929070472717,646.3966674804688,90.63542938232422,0.9999974370002747,637.9614868164062,95.53560638427734,0.999996542930603
4,563.3160400390625,70.23799133300781,1.0,591.2096557617188,68.08489990234375,0.999999463558197,609.982177734375,67.96998596191406,0.9999997615814209,628.3154907226562,68.32626342773438,0.9999997615814209,648.17431640625,69.6645278930664,0.9999961853027344,665.4083251953125,69.9298324584961,0.9999558329582214,641.2916870117188,41.384315490722656,0.002669521374627948,586.7999877929688,62.04188537597656,1.6497328033437952e-05,591.3534545898438,59.79020690917969,0.0027905127499252558,620.6834716796875,79.10066223144531,0.06599444895982742,592.7786254882812,59.05621337890625,0.9999995231628418,609.5830078125,77.9347915649414,0.9999996423721313,655.8513793945312,53.42609786987305,0.9999969601631165,649.0662231445312,54.264183044433594,0.9999926686286926,646.4688720703125,90.63241577148438,0.9999973773956299,638.0255737304688,95.54618072509766,0.9999964833259583
5,563.0928955078125,70.20480346679688,1.0,591.1569213867188,68.08489990234375,0.9999995231628418,609.8705444335938,68.03240966796875,0.9999997019767761,628.3154907226562,68.35228729248047,0.9999997615814209,648.1775512695312,69.67696380615234,0.9999964833259583,665.4457397460938,69.9328842163086,0.9999542832374573,641.2804565429688,41.30422592163086,0.002611432457342744,586.83203125,62.04188537597656,1.620735383767169e-05,591.3394165039062,59.71318817138672,0.0028259486425668,620.7269897460938,79.14423370361328,0.06575026363134384,592.7849731445312,59.03944778442383,0.999999463558197,609.5830078125,77.9347915649414,0.9999995827674866,655.85205078125,53.42609786987305,0.9999975562095642,648.93701171875,54.412113189697266,0.9999926090240479,646.4688720703125,90.63241577148438,0.9999971985816956,638.0255737304688,95.57636260986328,0.9999964237213135
6,562.8526000976562,70.10327911376953,1.0,591.0516967773438,68.082275390625,0.9999995231628418,609.8179321289062,68.03345489501953,0.9999997019767761,628.3143310546875,68.44335174560547,0.9999997019767761,648.25341796875,69.69013214111328,0.9999961256980896,665.4902954101562,69.89608764648438,0.9999527931213379,641.2804565429688,41.26457595825195,0.0025460966862738132,586.8772583007812,62.05085372924805,1.5916069969534874e-05,591.3273315429688,59.71066665649414,0.0026944393757730722,620.7562866210938,79.16354370117188,0.06056920811533928,592.7849731445312,59.02280807495117,0.999999463558197,609.5830078125,77.9359359741211,0.9999995827674866,655.863037109375,53.42609786987305,0.9999976754188538,648.9016723632812,54.42436218261719,0.9999924898147583,646.4688720703125,90.63241577148438,0.9999973177909851,638.0255737304688,95.59689331054688,0.9999967217445374
7,562.8516235351562,70.01085662841797,1.0,590.9418334960938,68.0426025390625,0.9999995231628418,609.7553100585938,68.12661743164062,0.9999997019767761,628.305419921875,68.46930694580078,0.9999997019767761,648.2860107421875,69.73148345947266,0.9999959468841553,665.5892333984375,69.68817138671875,0.9999542236328125,641.2916870117188,41.24382019042969,0.002361907856538892,586.9411010742188,62.05506134033203,1.609410173841752e-05,591.2211303710938,59.708251953125,0.0026468695141375065,620.7619018554688,79.25294494628906,0.06272297352552414,592.7849731445312,59.01042938232422,0.9999995231628418,609.5830078125,77.9359359741211,0.9999996423721313,655.863037109375,53.49617004394531,0.999997615814209,648.8967895507812,54.45418930053711,0.9999931454658508,646.130615234375,90.7601318359375,0.9999976754188538,637.6832885742188,95.83142852783203,0.9999966025352478
